file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0000_Sireethorn_Leearamwat.fasta,1037,0,0.000,,0,,1.9387,621,0.6017
0001_Pawling_village_New_York.fasta,1401,1,0.714,50.33,1,100.0,1.9446,897,0.6426
0002_Miguel_ngel_Asturias.fasta,1740,0,0.000,,0,,1.9492,1185,0.6830
0003_Singleton_New_South_Wales.fasta,3640,0,0.000,,0,,1.9629,2864,0.7879
0004_Municipalities_of_Chihuahua.fasta,4693,6,1.278,51.59,6,100.0,1.9578,3641,0.7767
0005_New_London_County_Connecticut.fasta,1716,4,2.331,49.21,3,75.0,1.9218,1222,0.7142
0006_Ruja_Ignatova.fasta,1493,5,3.349,51.05,5,100.0,1.9296,1025,0.6888
0007_Helping_hand.fasta,307,0,0.000,,0,,1.9277,96,0.3179
0008_The_Viking_Queen.fasta,2289,2,0.874,53.13,2,100.0,1.9356,1591,0.6966
0009_Child_poverty.fasta,3254,3,0.922,52.27,3,100.0,1.9645,2450,0.7541
0010_Marina_Mohnen.fasta,2976,2,0.672,51.75,2,100.0,1.9693,2322,0.7816
0011_Baie-Comeau_Drakkar.fasta,974,1,1.027,52.88,1,100.0,1.9509,541,0.5583
0012_University_of_Nebraska_Press.fasta,654,1,1.529,52.61,1,100.0,1.9800,275,0.4237
0013_1926_Women_s_World_Games_standing_long_jump.fasta,591,0,0.000,,0,,1.9732,309,0.5273
0014_John_McColl_British_Army_officer_.fasta,1091,2,1.833,53.96,2,100.0,1.9752,552,0.5083
0015_First_Ladyship_of_Laura_Bush.fasta,1640,4,2.439,48.94,4,100.0,1.9562,1041,0.6367
0016_Meridian_arc.fasta,4337,5,1.153,49.79,4,80.0,1.9270,3670,0.8472
0017_James_Prescott_Joule.fasta,2085,1,0.480,54.79,1,100.0,1.9631,1443,0.6937
0018_Common_sage.fasta,1549,2,1.291,52.35,2,100.0,1.9632,1057,0.6846
0019_List_of_Medal_of_Honor_recipients_for_the_Second_Battle_of_Fort_Fisher.fasta,1272,1,0.786,50.81,1,100.0,1.9346,821,0.6480
0020_Landslide.fasta,3370,0,0.000,,0,,1.9550,2652,0.7881
0021_Acoustic_Kitty.fasta,4919,8,1.626,51.35,8,100.0,1.9648,3877,0.7890
0022_Kristi_Yamaguchi.fasta,4290,1,0.233,52.64,1,100.0,1.9623,3331,0.7774
0023_National_Living_Wage.fasta,4748,3,0.632,51.42,3,100.0,1.9665,3790,0.7991
0024_2008_09_Calgary_Flames_season.fasta,491,0,0.000,,0,,1.9710,223,0.4588
0025_Gord_Fashoway.fasta,4002,3,0.750,48.18,3,100.0,1.9604,3122,0.7811
0026_Kallithea.fasta,3110,2,0.643,53.87,2,100.0,1.9794,2303,0.7417
0027_Scarface_rapper_.fasta,3694,4,1.083,47.56,4,100.0,1.9739,2788,0.7558
0028_Vitrey-sur-Mance.fasta,3639,1,0.275,48.37,1,100.0,1.9486,2868,0.7892
0029_Dongguan.fasta,468,0,0.000,,0,,1.9540,229,0.4946
0030_Electoral_district_of_Eureka.fasta,2676,3,1.121,50.77,3,100.0,1.9598,2038,0.7630
0031_Dan_Feuerriegel.fasta,1528,0,0.000,,0,,1.9608,971,0.6376
0032_Stupa.fasta,4731,4,0.845,51.22,4,100.0,1.9626,3792,0.8024
0033_Car_battery.fasta,4585,6,1.309,50.14,6,100.0,1.9491,3791,0.8277
0034_Imperial_Japanese_Armed_Forces.fasta,3794,4,1.054,51.65,4,100.0,1.9474,2937,0.7751
0035_Newport_County_A.F.C..fasta,2027,2,0.987,54.36,2,100.0,1.9641,1396,0.6904
0036_Peter_Osgood.fasta,917,0,0.000,,0,,1.9457,529,0.5800
0037_Espeja_de_San_Marcelino.fasta,4924,5,1.015,51.83,5,100.0,1.9632,4097,0.8329
0038_Epsom_New_Zealand_electorate_.fasta,1699,2,1.177,49.56,1,50.0,1.9457,1167,0.6889
0039_Vr_ly.fasta,1537,4,2.602,51.62,4,100.0,1.8729,1042,0.6802
0040_Paulo_Nagamura.fasta,4939,4,0.810,44.89,3,75.0,1.8801,4124,0.8358
0041_1862.fasta,2792,1,0.358,48.83,1,100.0,1.9445,2020,0.7248
0042_Martin_Schulz.fasta,4596,9,1.958,50.57,9,100.0,1.9697,3641,0.7931
0043_Brovello-Carpugnino.fasta,4596,3,0.653,50.52,3,100.0,1.9639,3748,0.8164
0044_V_lye.fasta,850,0,0.000,,0,,1.9357,515,0.6095
0045_Kingman_Reef.fasta,4754,7,1.472,50.34,6,85.7,1.8392,3994,0.8410
0046_Bernhard_Lippert.fasta,3343,3,0.897,51.49,3,100.0,1.9504,2506,0.7507
0047_Eddie_Filgate.fasta,2984,0,0.000,,0,,1.9551,2097,0.7039
0048_Ruud_Gullit.fasta,1822,2,1.098,53.85,2,100.0,1.9608,1146,0.6307
0049_Wright_brothers.fasta,3785,3,0.793,48.85,3,100.0,1.9687,3010,0.7963
0050_Jacob_Batalon.fasta,4470,2,0.447,52.92,2,100.0,1.9643,3510,0.7861
0051_Julie_Nixon_Eisenhower.fasta,4287,7,1.633,51.12,6,85.7,1.9590,3400,0.7940
0052_Yokohama_FC.fasta,2306,1,0.434,51.94,1,100.0,1.9597,1646,0.7153
0053_Kaiwaka.fasta,1970,1,0.508,49.43,1,100.0,1.9716,1259,0.6407
0054_Beaton_Tulk.fasta,4424,6,1.356,55.45,5,83.3,1.9721,3515,0.7954
0055_Regalbuto.fasta,1808,2,1.106,51.53,2,100.0,1.9456,1152,0.6389
0056_Lule_.fasta,1343,2,1.489,51.44,2,100.0,1.9594,903,0.6749
0057_Aignerville.fasta,2332,5,2.144,50.32,5,100.0,1.8936,1702,0.7314
0058_Thirty-second_note.fasta,1914,0,0.000,,0,,1.9511,1349,0.7067
0059_Albi.fasta,523,2,3.824,49.74,2,100.0,1.9542,288,0.5560
0060_California_1947_film_.fasta,3775,1,0.265,52.66,1,100.0,1.9497,2900,0.7692
0061_Pedagogy.fasta,3881,3,0.773,53.11,3,100.0,1.9391,2995,0.7727
0062_Mut.fasta,2652,1,0.377,46.71,1,100.0,1.9528,1909,0.7212
0063_Bob_Miller_ice_hockey_.fasta,707,0,0.000,,0,,1.9565,326,0.4644
0064_M1918_Browning_Automatic_Rifle.fasta,961,1,1.041,51.40,1,100.0,1.9631,412,0.4310
0065_Orbec.fasta,613,2,3.263,48.57,2,100.0,1.9369,365,0.6003
0066_1992-93_Austrian_Women_s_Football_Cup.fasta,1706,0,0.000,,0,,1.9691,1163,0.6837
0067_Juan_Gim_nez.fasta,4147,1,0.241,59.62,1,100.0,1.9662,3098,0.7479
0068_Romeo.fasta,3955,1,0.253,49.79,1,100.0,1.9534,3105,0.7861
0069_West_Richland_Washington.fasta,4897,15,3.063,49.87,15,100.0,1.9394,4113,0.8408
0070_Ignacio_Trelles.fasta,424,0,0.000,,0,,1.9087,228,0.5442
0071_Mandeville_North.fasta,2344,2,0.853,50.01,2,100.0,1.9316,1713,0.7324
0072_Estonia_national_football_team.fasta,3350,5,1.493,50.21,5,100.0,1.9410,2554,0.7635
0073_Orphism_religion_.fasta,844,0,0.000,,0,,1.9442,421,0.5018
0074_Eduardo_Laborde.fasta,4611,2,0.434,50.91,1,50.0,1.9603,3734,0.8107
0075_Michael_Rensing.fasta,933,1,1.072,53.62,1,100.0,1.9143,567,0.6110
0076_Daegu_International_Airport.fasta,4710,1,0.212,49.44,1,100.0,1.9790,3582,0.7613
0077_Teck_Whye_LRT_Station.fasta,2198,3,1.365,52.44,2,66.7,1.9620,1476,0.6731
0078_Osman_Iran.fasta,2462,2,0.812,49.27,2,100.0,1.9677,1901,0.7737
0079_CDG-2.fasta,992,2,2.016,57.78,2,100.0,1.9555,516,0.5228
0080_Disguised_Toast.fasta,3634,7,1.926,49.03,7,100.0,1.9389,2905,0.8005
0081_Bever_Switzerland.fasta,437,0,0.000,,0,,1.9613,216,0.5000
0082_International_Tennis_Hall_of_Fame.fasta,2649,3,1.133,49.90,3,100.0,1.9656,1896,0.7171
0083_Stulln.fasta,390,0,0.000,,0,,1.9729,149,0.3870
0084_Victorian.fasta,4627,5,1.081,47.62,5,100.0,1.9423,3714,0.8035
0085_Agusan_del_Norte.fasta,356,1,2.809,50.36,1,100.0,1.9110,159,0.4530
0086_Coton_Sport_FC_de_Garoua.fasta,2365,0,0.000,,0,,1.9630,1646,0.6975
0087_Democratic_Progressive_Party.fasta,4030,1,0.248,56.44,1,100.0,1.9734,3015,0.7491
0088_Paolo_Sala.fasta,1413,2,1.415,49.60,2,100.0,1.9363,985,0.6996
0089_IPhone_X.fasta,1853,3,1.619,51.21,3,100.0,1.9699,1186,0.6418
0090_Anthony_Browne_author_.fasta,4242,3,0.707,52.82,3,100.0,1.9736,3342,0.7888
0091_Sensory_receptor.fasta,2441,1,0.410,57.41,1,100.0,1.9599,1784,0.7323
0092_Nestl_Bear_Brand.fasta,833,2,2.401,48.14,2,100.0,1.9299,442,0.5338
0093_National_Oceanic_and_Atmospheric_Administration.fasta,4491,6,1.336,53.60,6,100.0,1.9377,3640,0.8114
0094_Brookhaven_New_York.fasta,437,0,0.000,,0,,1.9661,185,0.4282
