file,seq_len_bp,n_orfs,orf_to_bp_ratio,orfs_per_kb,mean_cai_percent,mean_esm2_perplexity
0000_La_Madrastra_1962_TV_series_.fasta,3307,0,0.000000,0.000,,
0001_I_Write_Sins_Not_Tragedies.fasta,1145,0,0.000000,0.000,,
0002_Brainbombs_1999_compilation_.fasta,3408,0,0.000000,0.000,,
0003_Derek_O_Brien_politician_.fasta,790,0,0.000000,0.000,,
0004_Boise_Idaho.fasta,4752,1,0.000210,0.210,56.87,2.3951
0005_Louise_lisabeth_de_Bourbon.fasta,1788,0,0.000000,0.000,,
0006_Violin_Concerto_Sibelius_.fasta,4140,0,0.000000,0.000,,
0007_The_Family_Plan.fasta,3062,1,0.000327,0.327,49.20,8.4028
0008_Leuvrigny.fasta,1218,0,0.000000,0.000,,
0009_Gilles_Brassard.fasta,4671,1,0.000214,0.214,47.01,10.3752
0010_Tiffany_Trump.fasta,4554,0,0.000000,0.000,,
0011_Zawe_Ashton.fasta,1418,2,0.001410,1.410,52.53,3.5194
0012_Thai_National_Anthem.fasta,4447,2,0.000450,0.450,55.50,12.3523
0013_Jack_Davis_industrialist_.fasta,1261,0,0.000000,0.000,,
0014_Deaths_in_October_2017.fasta,4581,0,0.000000,0.000,,
0015_Jammu_district.fasta,3691,1,0.000271,0.271,47.77,4.2208
0016_Ergny.fasta,3599,2,0.000556,0.556,52.67,6.6043
0017_Saterland_Frisian_language.fasta,3454,0,0.000000,0.000,,
0018_Prosecution_of_Donald_Trump_in_New_York.fasta,2992,1,0.000334,0.334,51.08,7.9990
0019_Antoine_Schildwein.fasta,4257,0,0.000000,0.000,,
0020_The_Storm_1933_movie_.fasta,2457,0,0.000000,0.000,,
0021_2019_FIFA_Women_s_World_Cup_Group_A.fasta,1515,0,0.000000,0.000,,
0022_Cyclone_Aila.fasta,3321,0,0.000000,0.000,,
0023_Spechbach_Haut-Rhin.fasta,2379,0,0.000000,0.000,,
0024_Build_Back_Better_Plan.fasta,2108,0,0.000000,0.000,,
0025_Neuilly-en-Dun.fasta,973,1,0.001028,1.028,53.23,6.6117
0026_Campugnan.fasta,657,0,0.000000,0.000,,
0027_Nachos.fasta,3097,2,0.000646,0.646,53.24,16.1318
0028_Hui_people.fasta,2659,0,0.000000,0.000,,
0029_Chokwe_language.fasta,1584,0,0.000000,0.000,,
0030_O_Reilly_Auto_Parts.fasta,3395,2,0.000589,0.589,50.43,5.4332
0031_2019_NBA_Finals.fasta,1709,0,0.000000,0.000,,
0032_Madagascar_franchise_.fasta,1345,0,0.000000,0.000,,
0033_Yl_j_rvi.fasta,1030,1,0.000971,0.971,56.30,9.7175
0034_Rytro.fasta,1272,0,0.000000,0.000,,
0035_Oral_Kazakhstan.fasta,3277,0,0.000000,0.000,,
0036_Renzo_Chiocchetti.fasta,3839,1,0.000260,0.260,51.53,14.6066
0037_Diocese_of_Visby.fasta,526,0,0.000000,0.000,,
0038_Treehouse_of_Horror_XXXII.fasta,605,0,0.000000,0.000,,
0039_Turkey_at_the_Olympics.fasta,3309,0,0.000000,0.000,,
0040_Behaviour_therapy.fasta,1687,0,0.000000,0.000,,
0041_Skew_lines.fasta,4948,2,0.000404,0.404,49.56,10.3250
0042_Avram_Glazer.fasta,931,0,0.000000,0.000,,
0043_Di_rio_da_Rep_blica.fasta,408,0,0.000000,0.000,,
0044_Zealot.fasta,1893,0,0.000000,0.000,,
0045_Palatalization_phonetics_.fasta,4353,1,0.000230,0.230,50.44,14.0777
0046_Carefree_Arizona.fasta,4534,0,0.000000,0.000,,
0047_Dutch_Wikipedia.fasta,680,0,0.000000,0.000,,
0048_Sunamganj_District.fasta,2002,1,0.000500,0.500,58.87,4.6419
0049_Thiepval.fasta,1888,1,0.000530,0.530,47.64,3.8442
0050_Vulnerability_index.fasta,1006,0,0.000000,0.000,,
0051_Annie_Montague_Alexander.fasta,3578,1,0.000279,0.279,50.75,8.3639
0052_R_yksopp.fasta,1329,0,0.000000,0.000,,
0053_Newport_Aquarium.fasta,772,0,0.000000,0.000,,
0054_Pearl_White.fasta,2630,0,0.000000,0.000,,
0055_2023_FIFA_Women_s_World_Cup_Group_A.fasta,4142,0,0.000000,0.000,,
0056_Neuve-Maison.fasta,567,0,0.000000,0.000,,
0057_Ed_Beck.fasta,881,0,0.000000,0.000,,
0058_Lienz.fasta,2518,0,0.000000,0.000,,
0059_Four_temperaments.fasta,3043,0,0.000000,0.000,,
0060_Frettecuisse.fasta,4579,0,0.000000,0.000,,
0061_Mark_Bresciano.fasta,4174,2,0.000479,0.479,54.62,13.4222
0062_Tumbleweed_band_.fasta,829,0,0.000000,0.000,,
0063_Ecoregion.fasta,4666,0,0.000000,0.000,,
0064_Cedar_Bluff_Alabama.fasta,1568,0,0.000000,0.000,,
0065_Rum_island_.fasta,2895,1,0.000345,0.345,58.54,8.7509
0066_Mungrisdale.fasta,4932,0,0.000000,0.000,,
0067_Red_mercury.fasta,4185,1,0.000239,0.239,47.74,12.3931
0068_Sanela_Diana_Jenkins.fasta,379,1,0.002639,2.639,50.54,8.9846
0069_Interior_point_method.fasta,4439,0,0.000000,0.000,,
0070_Spirit_Leona_Lewis_album_.fasta,2491,0,0.000000,0.000,,
0071_Guinea_pig.fasta,1239,0,0.000000,0.000,,
0072__nder_Sisters.fasta,1134,0,0.000000,0.000,,
0073_Chicago_and_Michigan_Lake_Shore_Railroad.fasta,2766,0,0.000000,0.000,,
0074_Roquecourbe.fasta,1434,0,0.000000,0.000,,
0075_Show_Me_Show_Me.fasta,2507,0,0.000000,0.000,,
0076_Octet_rule.fasta,2310,0,0.000000,0.000,,
0077_Payerne.fasta,4421,0,0.000000,0.000,,
0078_Murder_of_Dru_Sjodin.fasta,1247,0,0.000000,0.000,,
0079_The_Old_Man_and_the_Sea.fasta,2141,1,0.000467,0.467,47.40,6.7630
0080_Andinobates_altobueyensis.fasta,2978,0,0.000000,0.000,,
0081_Islam_in_Niger.fasta,4021,0,0.000000,0.000,,
0082_Lemmings_3D.fasta,2705,1,0.000370,0.370,54.05,6.9432
