file,orf_index,strand,frame,start_nt,end_nt,length_aa,cai_percent,esm2_perplexity
100032_pMT3-RhoAC.fasta,1,+,1,646,2640,664,82.30,11.7216
100032_pMT3-RhoAC.fasta,2,-,-2,120,986,288,52.30,16.4462
100032_pMT3-RhoAC.fasta,3,-,-1,5236,6096,286,58.16,9.9643
100032_pMT3-RhoAC.fasta,4,+,1,2749,3312,187,54.14,14.6455
100032_pMT3-RhoAC.fasta,5,+,2,3833,4249,138,60.30,15.0349
100032_pMT3-RhoAC.fasta,6,-,-3,3608,3946,112,60.51,18.5878
100032_pMT3-RhoAC.fasta,7,+,2,5366,5632,88,51.15,13.7315
100635_YCe1721_HC_Kan_RFP-p25.fasta,1,+,1,1393,2208,271,61.37,12.5333
100635_YCe1721_HC_Kan_RFP-p25.fasta,2,-,-3,249,926,225,81.29,15.7766
100635_YCe1721_HC_Kan_RFP-p25.fasta,3,+,2,2195,2593,132,59.18,16.8648
100786_DsRed-CPI-17-T38A.fasta,1,+,1,676,1800,374,62.80,15.6684
100786_DsRed-CPI-17-T38A.fasta,2,+,3,549,1481,310,45.61,10.0668
100786_DsRed-CPI-17-T38A.fasta,3,-,-2,5279,6139,286,58.16,9.9643
100786_DsRed-CPI-17-T38A.fasta,4,+,1,2980,3774,264,62.42,10.4753
100786_DsRed-CPI-17-T38A.fasta,5,-,-3,3289,3825,178,64.64,18.3483
100786_DsRed-CPI-17-T38A.fasta,6,+,2,3152,3538,128,52.98,16.5693
100786_DsRed-CPI-17-T38A.fasta,7,-,-1,1365,1679,104,57.64,12.5511
100786_DsRed-CPI-17-T38A.fasta,8,+,2,2093,2359,88,52.11,13.6498
100786_DsRed-CPI-17-T38A.fasta,9,+,3,5409,5675,88,51.15,13.7315
102864_pLEX307-mFzd1.fasta,1,+,3,1365,3293,642,64.55,14.9026
102864_pLEX307-mFzd1.fasta,2,+,2,8777,9640,287,53.51,15.5523
102864_pLEX307-mFzd1.fasta,3,+,3,5739,6599,286,58.16,9.9643
102864_pLEX307-mFzd1.fasta,4,-,-2,384,1004,206,54.55,15.6629
102864_pLEX307-mFzd1.fasta,5,+,2,9842,10444,200,63.61,8.5858
102864_pLEX307-mFzd1.fasta,6,-,-3,1076,1678,200,55.09,14.8558
102864_pLEX307-mFzd1.fasta,7,+,2,3782,4312,176,49.19,14.2686
102864_pLEX307-mFzd1.fasta,8,+,1,3769,4278,169,57.88,15.6274
102864_pLEX307-mFzd1.fasta,9,+,3,642,1079,145,57.05,14.3838
102864_pLEX307-mFzd1.fasta,10,-,-1,8692,9072,126,50.44,14.6167
102864_pLEX307-mFzd1.fasta,11,-,-2,7683,7982,99,47.99,16.2673
102864_pLEX307-mFzd1.fasta,12,-,-3,6203,6469,88,51.15,13.7315
102864_pLEX307-mFzd1.fasta,13,+,1,7756,8001,81,54.35,18.7773
103013_S-HBsAg.fasta,1,-,-2,5122,5982,286,58.16,9.9643
103013_S-HBsAg.fasta,2,+,3,2823,3617,264,62.37,10.2804
103013_S-HBsAg.fasta,3,+,2,956,1636,226,52.94,14.7334
103013_S-HBsAg.fasta,4,-,-3,3132,3668,178,64.64,18.3483
103013_S-HBsAg.fasta,5,+,1,1222,1677,151,54.25,13.7233
103013_S-HBsAg.fasta,6,+,1,2995,3381,128,53.41,16.7936
103013_S-HBsAg.fasta,7,+,1,1936,2202,88,52.11,13.6498
103013_S-HBsAg.fasta,8,+,2,5252,5518,88,51.15,13.7315
103032_Lifeact-7-iRFP670.fasta,1,+,2,575,1582,335,70.78,13.1844
103032_Lifeact-7-iRFP670.fasta,2,+,1,2812,3606,264,62.22,10.2824
103032_Lifeact-7-iRFP670.fasta,3,-,-3,3121,3657,178,64.35,18.3483
103032_Lifeact-7-iRFP670.fasta,4,+,3,3627,4076,149,54.55,15.5003
103032_Lifeact-7-iRFP670.fasta,5,+,2,2984,3370,128,53.40,17.0114
103032_Lifeact-7-iRFP670.fasta,6,-,-3,1213,1473,86,66.64,17.6452
103400_LSB-hsa-miR-302a-3p.fasta,1,-,-3,846,1706,286,58.33,9.9643
103400_LSB-hsa-miR-302a-3p.fasta,2,+,2,10073,10882,269,62.06,12.4787
103400_LSB-hsa-miR-302a-3p.fasta,3,+,3,8415,9134,239,68.99,17.0321
103400_LSB-hsa-miR-302a-3p.fasta,4,+,1,4951,5655,234,60.72,18.2961
103400_LSB-hsa-miR-302a-3p.fasta,5,-,-1,4013,4633,206,54.55,15.6629
103400_LSB-hsa-miR-302a-3p.fasta,6,-,-2,7486,8106,206,54.55,15.6629
103400_LSB-hsa-miR-302a-3p.fasta,7,+,3,1857,2456,199,63.70,8.6001
103400_LSB-hsa-miR-302a-3p.fasta,8,+,1,7744,8181,145,57.05,14.3838
103400_LSB-hsa-miR-302a-3p.fasta,9,+,2,4271,4708,145,57.05,14.3838
103400_LSB-hsa-miR-302a-3p.fasta,10,+,2,5534,5965,143,53.68,14.3684
103400_LSB-hsa-miR-302a-3p.fasta,11,-,-2,6880,7221,113,51.36,15.5872
103400_LSB-hsa-miR-302a-3p.fasta,12,-,-2,2017,2343,108,45.01,7.9303
103400_LSB-hsa-miR-302a-3p.fasta,13,-,-1,3449,3748,99,53.91,13.9908
103400_LSB-hsa-miR-302a-3p.fasta,14,+,1,976,1242,88,51.46,13.6856
103400_LSB-hsa-miR-302a-3p.fasta,15,+,1,6490,6738,82,54.89,13.4750
103400_LSB-hsa-miR-302a-3p.fasta,16,+,3,3045,3293,82,51.56,14.6048
103400_LSB-hsa-miR-302a-3p.fasta,17,-,-3,5055,5300,81,51.44,16.4144
103900_PTPN13_PDZ_3.fasta,1,+,1,76,1113,345,56.94,12.0404
103900_PTPN13_PDZ_3.fasta,2,+,3,3606,4565,319,70.70,8.2396
103900_PTPN13_PDZ_3.fasta,3,+,3,1542,2402,286,58.16,9.8572
103900_PTPN13_PDZ_3.fasta,4,+,2,4688,5215,175,67.37,17.0894
103900_PTPN13_PDZ_3.fasta,5,+,2,3416,3733,105,60.37,16.7578
103900_PTPN13_PDZ_3.fasta,6,-,-3,2006,2272,88,51.56,13.6617
103900_PTPN13_PDZ_3.fasta,7,+,2,4322,4585,87,57.30,15.9326
103900_PTPN13_PDZ_3.fasta,8,-,-1,4348,4599,83,54.02,16.0511
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,1,-,-2,3855,4814,319,71.39,8.2396
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,2,-,-3,5795,6631,278,67.25,16.6498
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,3,-,-2,903,1718,271,61.77,12.5159
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,4,-,-1,4687,5187,166,58.44,14.4526
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,5,+,3,3078,3446,122,61.17,18.4342
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,6,-,-3,3443,3799,118,59.51,14.2362
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,7,+,2,4976,5239,87,49.50,15.4120
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,8,-,-1,3835,4098,87,57.03,15.7331
104466_MBP-hnRNPA2_LC_R191K_R254K.fasta,9,+,2,3821,4072,83,54.42,16.2010
104517_LI_C-D_GUS.fasta,1,+,2,77,1939,620,74.87,10.3895
104517_LI_C-D_GUS.fasta,2,+,2,3095,3763,222,61.00,12.1991
104517_LI_C-D_GUS.fasta,3,-,-1,191,652,153,66.91,18.2303
104517_LI_C-D_GUS.fasta,4,-,-1,3293,3625,110,57.02,17.5741
104517_LI_C-D_GUS.fasta,5,-,-1,1241,1567,108,65.62,17.2285
104517_LI_C-D_GUS.fasta,6,-,-1,1619,1924,101,63.71,17.3593
105168_pTRE-T2-_mIR-IRES-Puromycin.fasta,1,-,-2,3707,4612,301,57.66,12.2001
105168_pTRE-T2-_mIR-IRES-Puromycin.fasta,2,+,2,2456,3316,286,58.13,9.9457
105168_pTRE-T2-_mIR-IRES-Puromycin.fasta,3,+,2,3884,4483,199,64.18,8.6001
105168_pTRE-T2-_mIR-IRES-Puromycin.fasta,4,+,1,1018,1332,104,45.12,4.0421
105168_pTRE-T2-_mIR-IRES-Puromycin.fasta,5,-,-3,2920,3186,88,51.29,13.4892
105414_pTEI041.fasta,1,+,1,385,1347,320,57.90,16.8547
105414_pTEI041.fasta,2,+,1,1678,2583,301,60.74,14.0110
105414_pTEI041.fasta,3,-,-3,666,1127,153,48.41,16.9193
105414_pTEI041.fasta,4,-,-2,1831,2214,127,64.63,19.6905
105414_pTEI041.fasta,5,-,-2,838,1116,92,62.47,15.9814
105414_pTEI041.fasta,6,-,-3,2091,2369,92,51.36,14.4484
105414_pTEI041.fasta,7,-,-3,1824,2081,85,56.73,14.2461
105414_pTEI041.fasta,8,+,2,1154,1405,83,48.31,16.2912
105946_HS-aPKC-CAAX-GFP.fasta,1,+,2,1811,4405,864,60.01,12.2308
105946_HS-aPKC-CAAX-GFP.fasta,2,+,1,1741,2688,315,48.33,10.5225
105946_HS-aPKC-CAAX-GFP.fasta,3,+,1,5644,6438,264,62.22,10.2824
105946_HS-aPKC-CAAX-GFP.fasta,4,-,-3,5953,6489,178,64.35,18.3483
105946_HS-aPKC-CAAX-GFP.fasta,5,+,3,6459,6908,149,54.55,15.5003
105946_HS-aPKC-CAAX-GFP.fasta,6,+,2,5816,6202,128,53.40,17.0114
105946_HS-aPKC-CAAX-GFP.fasta,7,+,3,3432,3692,86,45.21,12.8162
106159_pCfB6627.fasta,1,-,-3,1220,2128,302,58.46,16.0370
106159_pCfB6627.fasta,2,+,3,4488,5348,286,58.51,9.9643
106159_pCfB6627.fasta,3,+,2,1664,2236,190,55.66,8.9123
106159_pCfB6627.fasta,4,+,1,2353,2739,128,53.53,15.6122
106159_pCfB6627.fasta,5,+,2,3095,3475,126,59.23,17.2207
106159_pCfB6627.fasta,6,+,1,817,1161,114,58.08,15.8220
106159_pCfB6627.fasta,7,+,3,762,1100,112,58.39,17.6684
106159_pCfB6627.fasta,8,-,-3,4952,5218,88,51.95,13.6856
106159_pCfB6627.fasta,9,-,-2,618,881,87,60.39,16.6647
106706_gh25.fasta,1,+,3,1500,2360,286,58.23,9.9643
106706_gh25.fasta,2,-,-3,1964,2230,88,50.79,13.4541
106706_gh25.fasta,3,-,-2,375,638,87,48.60,15.1079
107182_pAAV-CAG-EGFPKir7.1.fasta,1,+,3,1659,3764,701,60.68,15.9285
107182_pAAV-CAG-EGFPKir7.1.fasta,2,+,2,5270,6130,286,58.16,9.9643
107182_pAAV-CAG-EGFPKir7.1.fasta,3,-,-3,912,1520,202,48.51,9.5629
107182_pAAV-CAG-EGFPKir7.1.fasta,4,-,-3,3564,3962,132,51.50,17.6627
107182_pAAV-CAG-EGFPKir7.1.fasta,5,+,2,461,808,115,54.50,11.2320
107182_pAAV-CAG-EGFPKir7.1.fasta,6,-,-1,4100,4408,102,48.86,14.8800
107182_pAAV-CAG-EGFPKir7.1.fasta,7,-,-3,1527,1826,99,45.81,11.1705
107182_pAAV-CAG-EGFPKir7.1.fasta,8,+,1,4063,4344,93,55.65,15.1314
107182_pAAV-CAG-EGFPKir7.1.fasta,9,-,-2,5734,6000,88,51.15,13.7315
107182_pAAV-CAG-EGFPKir7.1.fasta,10,+,3,651,902,83,48.83,8.7194
10792_1436_pcDNA3_Flag_HA.fasta,1,-,-2,4497,5357,286,58.16,9.9643
10792_1436_pcDNA3_Flag_HA.fasta,2,+,2,2198,2992,264,62.37,10.2804
10792_1436_pcDNA3_Flag_HA.fasta,3,-,-3,2507,3043,178,64.64,18.3483
10792_1436_pcDNA3_Flag_HA.fasta,4,+,3,2370,2756,128,53.41,16.7936
10792_1436_pcDNA3_Flag_HA.fasta,5,+,1,4627,4893,88,51.15,13.7315
10792_1436_pcDNA3_Flag_HA.fasta,6,+,3,1311,1577,88,52.11,13.6498
108513_pAJM.712.fasta,1,-,-1,1848,2663,271,61.51,12.5159
108513_pAJM.712.fasta,2,+,1,100,819,239,69.21,16.8145
108513_pAJM.712.fasta,3,+,3,309,707,132,41.95,9.2117
108513_pAJM.712.fasta,4,+,1,1129,1425,98,56.22,16.0194
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,1,+,2,4310,6097,595,62.05,9.4410
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,2,-,-2,1507,2367,286,58.16,9.9643
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,3,-,-3,3300,3848,182,53.58,8.5845
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,4,-,-1,4271,4792,173,63.12,13.4405
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,5,+,2,2792,3232,146,55.81,11.3716
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,6,-,-2,6052,6453,133,47.68,15.9600
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,7,-,-2,5674,6024,116,53.90,15.6510
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,8,+,3,3987,4313,108,61.57,12.8057
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,9,-,-2,4381,4701,106,55.27,15.1580
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,10,-,-3,3855,4154,99,45.81,11.1705
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,11,+,1,6325,6615,96,50.74,16.3892
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,12,+,2,1637,1903,88,51.15,13.7315
108785_pBW2585_pCAG-PV1-VCre-N269-L1-ABI-NLS-BGHpA.fasta,13,-,-1,6359,6619,86,54.56,16.8361
109018_pLenti-X1-Neo-GFP-ATL1.fasta,1,+,1,1447,3864,805,61.00,15.7716
109018_pLenti-X1-Neo-GFP-ATL1.fasta,2,+,2,7418,8278,286,58.16,9.9643
109018_pLenti-X1-Neo-GFP-ATL1.fasta,3,+,1,5077,5880,267,62.19,10.3841
109018_pLenti-X1-Neo-GFP-ATL1.fasta,4,-,-3,4012,4671,219,49.63,15.8990
109018_pLenti-X1-Neo-GFP-ATL1.fasta,5,-,-3,487,1107,206,54.55,15.6629
109018_pLenti-X1-Neo-GFP-ATL1.fasta,6,-,-3,5395,5937,180,64.66,18.3098
109018_pLenti-X1-Neo-GFP-ATL1.fasta,7,+,1,4015,4548,177,57.54,15.9329
109018_pLenti-X1-Neo-GFP-ATL1.fasta,8,+,1,745,1182,145,57.05,14.3838
109018_pLenti-X1-Neo-GFP-ATL1.fasta,9,+,2,4844,5257,137,50.21,14.5356
109018_pLenti-X1-Neo-GFP-ATL1.fasta,10,+,2,5258,5644,128,53.41,16.7936
109018_pLenti-X1-Neo-GFP-ATL1.fasta,11,-,-1,10371,10751,126,50.44,14.6167
109018_pLenti-X1-Neo-GFP-ATL1.fasta,12,-,-1,2097,2459,120,52.62,15.3424
109018_pLenti-X1-Neo-GFP-ATL1.fasta,13,-,-2,9362,9661,99,47.99,16.2673
109018_pLenti-X1-Neo-GFP-ATL1.fasta,14,+,2,4028,4324,98,48.63,13.4604
109018_pLenti-X1-Neo-GFP-ATL1.fasta,15,-,-3,7882,8148,88,51.15,13.7315
109018_pLenti-X1-Neo-GFP-ATL1.fasta,16,+,3,9435,9680,81,54.35,18.7773
109432_Non-specific_sgRNA.fasta,1,-,-1,1245,2105,286,58.16,9.9643
109432_Non-specific_sgRNA.fasta,2,+,2,422,811,129,55.54,16.9596
109432_Non-specific_sgRNA.fasta,3,+,1,1375,1641,88,51.15,13.7315
10955_pUC8_mouse_IFN-gamma.fasta,1,+,2,11585,12445,286,58.16,9.9643
10955_pUC8_mouse_IFN-gamma.fasta,2,+,1,7363,7761,132,51.62,17.4160
10955_pUC8_mouse_IFN-gamma.fasta,3,+,1,10690,11016,108,52.82,16.9558
10955_pUC8_mouse_IFN-gamma.fasta,4,-,-1,10891,11199,102,49.85,17.0078
10955_pUC8_mouse_IFN-gamma.fasta,5,+,3,10347,10637,96,53.10,16.9099
10955_pUC8_mouse_IFN-gamma.fasta,6,-,-2,552,827,91,51.62,14.9983
10955_pUC8_mouse_IFN-gamma.fasta,7,+,3,9939,10205,88,60.42,19.5334
10955_pUC8_mouse_IFN-gamma.fasta,8,-,-1,12049,12315,88,51.15,13.7315
109620_actc1b-mKate2-rab30.fasta,1,+,2,32,1357,441,60.33,11.6369
109620_actc1b-mKate2-rab30.fasta,2,-,-2,3477,4337,286,58.16,9.9643
109620_actc1b-mKate2-rab30.fasta,3,+,3,7299,7859,186,51.74,16.8680
109620_actc1b-mKate2-rab30.fasta,4,-,-2,1575,1871,98,59.46,17.3728
109620_actc1b-mKate2-rab30.fasta,5,+,1,3607,3873,88,51.15,13.7315
109620_actc1b-mKate2-rab30.fasta,6,-,-1,5287,5541,84,45.42,15.7056
109620_actc1b-mKate2-rab30.fasta,7,-,-1,136,381,81,52.10,16.4144
109670_p3E-rab15.fasta,1,+,1,1048,1857,269,62.06,12.4787
109670_p3E-rab15.fasta,2,+,1,262,762,166,55.24,8.1075
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,1,+,3,123,1640,505,72.35,12.9980
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,2,+,2,6248,7207,319,71.39,8.2396
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,3,-,-3,4973,5833,286,58.16,9.8572
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,4,-,-2,696,1187,163,64.44,16.8676
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,5,+,3,1959,2393,144,64.51,15.2382
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,6,+,1,1567,1986,139,55.94,17.5677
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,7,-,-2,2724,3092,122,61.17,18.4342
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,8,-,-3,608,931,107,52.04,18.3222
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,9,+,1,6058,6375,105,60.37,16.7962
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,10,+,1,2461,2727,88,54.18,15.4576
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,11,+,3,5103,5369,88,51.56,13.6617
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,12,+,1,6964,7227,87,57.03,15.7331
109862_pHH0103_EEF1A2_GTP-EFTU.fasta,13,-,-2,6990,7241,83,54.42,16.2010
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,1,+,3,2136,7148,1670,66.91,15.2498
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,2,-,-3,1839,4730,963,62.12,11.9735
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,3,+,2,10355,11215,286,58.16,9.9643
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,4,+,3,7440,8279,279,58.39,9.8021
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,5,+,3,945,1718,257,51.58,15.4418
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,6,+,1,8398,8928,176,49.19,14.2686
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,7,+,3,8385,8894,169,57.88,15.6274
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,8,-,-1,4124,4573,149,53.80,14.7057
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,9,-,-1,860,1240,126,50.44,14.6167
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,10,-,-1,1811,2137,108,56.04,17.7125
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,11,-,-1,3560,3853,97,55.26,15.2572
110866_pLenti-HF1RA-P2A-GFP-PGK-Puro.fasta,12,-,-2,10819,11085,88,51.15,13.7315
110963_MAEBL-COMP-blac-flag-his.fasta,1,+,1,298,7977,2559,62.56,9.7686
110963_MAEBL-COMP-blac-flag-his.fasta,2,-,-3,262,3504,1080,58.59,11.3832
110963_MAEBL-COMP-blac-flag-his.fasta,3,-,-1,3534,5087,517,60.47,2.6965
110963_MAEBL-COMP-blac-flag-his.fasta,4,+,1,10492,11352,286,58.16,9.8572
110963_MAEBL-COMP-blac-flag-his.fasta,5,-,-1,5094,5723,209,63.06,2.3334
110963_MAEBL-COMP-blac-flag-his.fasta,6,+,3,1158,1478,106,49.54,11.6708
110963_MAEBL-COMP-blac-flag-his.fasta,7,+,2,2117,2401,94,42.67,10.0698
110963_MAEBL-COMP-blac-flag-his.fasta,8,+,2,3722,3994,90,40.42,8.5147
110963_MAEBL-COMP-blac-flag-his.fasta,9,-,-1,10956,11222,88,51.56,13.6617
110963_MAEBL-COMP-blac-flag-his.fasta,10,-,-1,7485,7751,88,51.15,13.7315
110963_MAEBL-COMP-blac-flag-his.fasta,11,-,-1,5751,6011,86,52.09,10.1609
111049_pCHKU28.1-2.2.fasta,1,+,1,508,7278,2256,60.04,11.9558
111049_pCHKU28.1-2.2.fasta,2,+,3,12027,13121,364,56.57,14.4977
111049_pCHKU28.1-2.2.fasta,3,-,-2,6079,7122,347,60.30,13.6394
111049_pCHKU28.1-2.2.fasta,4,-,-3,8931,9791,286,58.16,9.9643
111049_pCHKU28.1-2.2.fasta,5,+,3,6525,7151,208,53.21,10.8740
111049_pCHKU28.1-2.2.fasta,6,-,-2,5152,5751,199,61.05,16.1570
111049_pCHKU28.1-2.2.fasta,7,+,2,4139,4702,187,50.42,12.2989
111049_pCHKU28.1-2.2.fasta,8,-,-3,4485,4952,155,53.19,14.1962
111049_pCHKU28.1-2.2.fasta,9,-,-2,1789,2190,133,56.73,16.9343
111049_pCHKU28.1-2.2.fasta,10,-,-3,6723,7103,126,60.40,12.9279
111049_pCHKU28.1-2.2.fasta,11,-,-2,1417,1776,119,62.21,16.2735
111049_pCHKU28.1-2.2.fasta,12,-,-3,3648,3995,115,51.03,15.0058
111049_pCHKU28.1-2.2.fasta,13,-,-3,5697,6035,112,54.39,14.8542
111049_pCHKU28.1-2.2.fasta,14,-,-3,1230,1565,111,58.91,18.4799
111049_pCHKU28.1-2.2.fasta,15,-,-2,2605,2934,109,57.79,14.0237
111049_pCHKU28.1-2.2.fasta,16,+,1,7498,7821,107,52.37,15.4264
111049_pCHKU28.1-2.2.fasta,17,-,-1,10724,11044,106,57.84,16.7801
111049_pCHKU28.1-2.2.fasta,18,-,-1,12689,13000,103,55.01,17.4438
111049_pCHKU28.1-2.2.fasta,19,+,2,11288,11584,98,57.92,18.0975
111049_pCHKU28.1-2.2.fasta,20,+,1,9958,10248,96,63.09,7.5360
111049_pCHKU28.1-2.2.fasta,21,+,2,1001,1291,96,48.42,12.3638
111049_pCHKU28.1-2.2.fasta,22,+,2,692,976,94,50.04,14.6993
111049_pCHKU28.1-2.2.fasta,23,-,-2,2320,2604,94,58.53,17.6127
111049_pCHKU28.1-2.2.fasta,24,-,-3,942,1226,94,49.83,16.4564
111049_pCHKU28.1-2.2.fasta,25,+,1,9061,9327,88,51.15,13.7315
111049_pCHKU28.1-2.2.fasta,26,+,2,6437,6703,88,51.87,11.9266
111049_pCHKU28.1-2.2.fasta,27,-,-3,6183,6446,87,46.07,12.8417
111111_pCR1165.fasta,1,+,1,4129,5520,463,66.23,13.0019
111111_pCR1165.fasta,2,+,2,5732,6772,346,51.33,15.8435
111111_pCR1165.fasta,3,+,3,1365,2252,295,51.45,15.0690
111111_pCR1165.fasta,4,-,-1,7747,8607,286,58.16,9.9643
111111_pCR1165.fasta,5,-,-1,4753,5556,267,58.38,10.6033
111111_pCR1165.fasta,6,-,-2,3237,3857,206,54.55,15.6629
111111_pCR1165.fasta,7,+,1,5719,6273,184,56.35,15.8499
111111_pCR1165.fasta,8,-,-3,1199,1660,153,47.98,15.3680
111111_pCR1165.fasta,9,+,3,3495,3932,145,57.79,14.3838
111111_pCR1165.fasta,10,+,2,7877,8143,88,51.15,13.7315
111175_LT3REVIN.fasta,1,+,2,6764,7624,286,58.16,9.9643
111175_LT3REVIN.fasta,2,+,1,3772,4566,264,62.22,10.2824
111175_LT3REVIN.fasta,3,+,2,2447,3166,239,70.18,16.9440
111175_LT3REVIN.fasta,4,+,1,871,1548,225,68.51,16.8224
111175_LT3REVIN.fasta,5,+,2,119,766,215,42.64,6.7733
111175_LT3REVIN.fasta,6,+,3,4566,5213,215,58.43,16.8303
111175_LT3REVIN.fasta,7,-,-3,4081,4578,165,65.37,18.5871
111175_LT3REVIN.fasta,8,+,2,3944,4330,128,53.40,17.0114
111175_LT3REVIN.fasta,9,-,-1,9717,10097,126,50.44,14.6167
111175_LT3REVIN.fasta,10,-,-2,8708,9007,99,47.99,16.2673
111175_LT3REVIN.fasta,11,+,1,4699,4995,98,48.63,13.4604
111175_LT3REVIN.fasta,12,-,-3,7228,7494,88,51.15,13.7315
111175_LT3REVIN.fasta,13,+,3,2205,2453,82,46.62,12.3854
111175_LT3REVIN.fasta,14,+,3,8781,9026,81,54.35,18.7773
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,1,+,2,5084,14641,3185,57.59,15.2262
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,2,+,3,687,1547,286,58.16,9.9643
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,3,-,-3,11627,12310,227,56.92,16.0664
111748_pBacMam2-DiEx-LIC-C-flag_huntingtin_full-length_Q52.fasta,4,+,3,3537,4214,225,63.03,15.0509
